"name","label","region","district","hf_name"
"Malanga","Malanga","Northern","Karonga","Wasambo Community Hospital"
"Malongo","Malongo","Northern","Karonga","Wasambo Community Hospital"
"Mapanjira","Mapanjira","Northern","Mzimba South","Chikangawa Health Centre"
"Mapanjira","Mapanjira","Northern","Mzimba South","St Kizito Mission Hospital"
"Maganizo","Maganizo","Northern","Nkhata Bay","Tester Clinic"
"Mpingu","Mpingu","Northern","Rumphi","Chamama Community Hospital"
"Chendausiku","Chendausiku","Southern","Balaka","Chendausiku Health Centre"
"Chiendausiku","Chiendausiku","Southern","Balaka","Chiendausiku Health Centre"
"Chiendausikutest","Chiendausikutest","Southern","Balaka","Chiendausiku Health Centre"
"Kampeni","Kampeni","Southern","Balaka","Chiendausiku Health Centre"
"Chiyendausiku","Chiyendausiku","Southern","Balaka","Chiyendausiku Health Centre"
"Chiyendausikutest","Chiyendausikutest","Southern","Balaka","Chiyendausiku Health Centre"
"Khwisatest","Khwisatest","Southern","Balaka","Khwisa Health Centre"
"Chembe","Chembe","Southern","Mangochi","Billy Riordan Mission Hospital"
"Chembe 2","Chembe 2","Southern","Mangochi","Billy Riordan Mission Hospital"
"Kafukuta","Kafukuta","Southern","Mangochi","Billy Riordan Mission Hospital"
"Bwanali","Bwanali","Southern","Mangochi","Chikole Health Centre"
"Chinawa","Chinawa","Southern","Mangochi","Chikole Health Centre"
"Chowe 1","Chowe 1","Southern","Mangochi","Chikole Health Centre"
"Chowe 2","Chowe 2","Southern","Mangochi","Chikole Health Centre"
"Kunde","Kunde","Southern","Mangochi","Chikole Health Centre"
"Liundi","Liundi","Southern","Mangochi","Chikole Health Centre"
"Mamu","Mamu","Southern","Mangochi","Chikole Health Centre"
"Masache","Masache","Southern","Mangochi","Chikole Health Centre"
"Matamanda","Matamanda","Southern","Mangochi","Chikole Health Centre"
"Matola","Matola","Southern","Mangochi","Chikole Health Centre"
"Mbamba","Mbamba","Southern","Mangochi","Chikole Health Centre"
"Wasili","Wasili","Southern","Mangochi","Chikole Health Centre"
"Misolo","Misolo","Southern","Mangochi","Chiunda Health Centre"
"Bwanali Makoli","Bwanali Makoli","Southern","Mangochi","Iba Health Centre"
"Chilungo","Chilungo","Southern","Mangochi","Iba Health Centre"
"Iba","Iba","Southern","Mangochi","Iba Health Centre"
"Idrusi","Idrusi","Southern","Mangochi","Iba Health Centre"
"Kaluma","Kaluma","Southern","Mangochi","Iba Health Centre"
"Kwilembe","Kwilembe","Southern","Mangochi","Iba Health Centre"
"Matukuta","Matukuta","Southern","Mangochi","Iba Health Centre"
"Matungwi","Matungwi","Southern","Mangochi","Iba Health Centre"
"Maundu","Maundu","Southern","Mangochi","Iba Health Centre"
"Mkata","Mkata","Southern","Mangochi","Iba Health Centre"
"Mponda","Mponda","Southern","Mangochi","Iba Health Centre"
"Bulaimu","Bulaimu","Southern","Mangochi","Kadango Health Centre"
"Chikulo","Chikulo","Southern","Mangochi","Kadango Health Centre"
"Chiponda","Chiponda","Southern","Mangochi","Kadango Health Centre"
"Kadango 1 A","Kadango 1 A","Southern","Mangochi","Kadango Health Centre"
"Kadango 1 B","Kadango 1 B","Southern","Mangochi","Kadango Health Centre"
"Kadango 2","Kadango 2","Southern","Mangochi","Kadango Health Centre"
"Lisimbagwe","Lisimbagwe","Southern","Mangochi","Kadango Health Centre"
"Matipani","Matipani","Southern","Mangochi","Kadango Health Centre"
"Ng'ombe 2","Ng'ombe 2","Southern","Mangochi","Kadango Health Centre"
"Nyangu","Nyangu","Southern","Mangochi","Kadango Health Centre"
"Afiki","Afiki","Southern","Mangochi","Kapire Health Centre"
"Bonongwe","Bonongwe","Southern","Mangochi","Kapire Health Centre"
"Chingwalu","Chingwalu","Southern","Mangochi","Kapire Health Centre"
"Donosi","Donosi","Southern","Mangochi","Kapire Health Centre"
"Gwaza","Gwaza","Southern","Mangochi","Kapire Health Centre"
"Kapire","Kapire","Southern","Mangochi","Kapire Health Centre"
"Katoleza","Katoleza","Southern","Mangochi","Kapire Health Centre"
"Malika","Malika","Southern","Mangochi","Kapire Health Centre"
"Nasuluma","Nasuluma","Southern","Mangochi","Kapire Health Centre"
"Tsamilani","Tsamilani","Southern","Mangochi","Kapire Health Centre"
"Uladi","Uladi","Southern","Mangochi","Kapire Health Centre"
"Namisi","Namisi","Southern","Mangochi","Katema Health Centre"
"Chipala","Chipala","Southern","Mangochi","Koche Community Hospital"
"Chipoka 1","Chipoka 1","Southern","Mangochi","Koche Community Hospital"
"Kella 1","Kella 1","Southern","Mangochi","Koche Community Hospital"
"Kella 2","Kella 2","Southern","Mangochi","Koche Community Hospital"
"Makawa","Makawa","Southern","Mangochi","Koche Community Hospital"
"Makokola","Makokola","Southern","Mangochi","Koche Community Hospital"
"Matuwi","Matuwi","Southern","Mangochi","Koche Community Hospital"
"Maudzu","Maudzu","Southern","Mangochi","Koche Community Hospital"
"Michesi One","Michesi One","Southern","Mangochi","Koche Community Hospital"
"Michesi One B","Michesi One B","Southern","Mangochi","Koche Community Hospital"
"Michesi Two","Michesi Two","Southern","Mangochi","Koche Community Hospital"
"Mpale A","Mpale A","Southern","Mangochi","Koche Community Hospital"
"Mpale B","Mpale B","Southern","Mangochi","Koche Community Hospital"
"Mpemba","Mpemba","Southern","Mangochi","Koche Community Hospital"
"Mpemba 1","Mpemba 1","Southern","Mangochi","Koche Community Hospital"
"Mtimbuka","Mtimbuka","Southern","Mangochi","Koche Community Hospital"
